CompanyName,CompanyNumber,AddressLine1,Postcode,PostTown,Incorporated,AgeYears,PrimarySIC,AccountsCategory,MortgageCharges,MortgagesOutstanding,IndustryFit,CommercialSubstance,LifecycleFit,FilingHealth,Score,GroupCompanies
SIBNER GROUP LTD,14144337,43 KELVEDON ROAD,SW6 5BP,LONDON,2022-05-31,4.3,41100 - Development of building projects,GROUP,4,3,1.0,1.0,1.0,1.0,100.0,2
DSBL HMO PORTFOLIO LIMITED,12677683,14 BERKELEY STREET,W1J 8DX,LONDON,2020-06-17,6.2,41100 - Development of building projects,GROUP,4,4,1.0,1.0,1.0,1.0,100.0,32
KAJIMA STUDENT HOUSING LIMITED,11937880,10 ST. GILES SQUARE,WC2H 8AP,LONDON,2019-04-10,7.4,41100 - Development of building projects,FULL,5,5,1.0,0.935,1.0,1.0,98.4,16
URBAN&CIVIC CORBY LIMITED,10990162,50 NEW BOND STREET,W1S 1BJ,LONDON,2017-10-02,8.9,41100 - Development of building projects,FULL,8,8,1.0,0.935,1.0,1.0,98.4,42
KHK ONE LIMITED,12967470,9 APPOLD STREET,EC2A 2AP,LONDON,2020-10-22,5.9,41100 - Development of building projects,FULL,4,4,1.0,0.935,1.0,1.0,98.4,4
HE2 HUNTINGDON 1 GP LIMITED,12723295,7TH FLOOR,SW1H 0DB,LONDON,2020-07-06,6.2,41100 - Development of building projects,FULL,5,5,1.0,0.935,1.0,1.0,98.4,10
LEGAL & GENERAL SUBURBAN BTR (DEVELOPMENT 2) LIMITED,13313392,ONE,EC2R 5AA,LONDON,2021-04-03,5.4,41100 - Development of building projects,FULL,4,4,1.0,0.935,1.0,1.0,98.4,28
PEARL ALTITUDE LIMITED,11241271,50 NEW BOND STREET,W1S 1BJ,LONDON,2018-03-08,8.5,41100 - Development of building projects,FULL,3,3,1.0,0.935,1.0,1.0,98.4,9
HPREF II UK PBSA EDINBURGH INVESTMENT LIMITED,13199064,42-44 GROSVENOR GARDENS,SW1W 0EB,LONDON,2021-02-12,5.5,41100 - Development of building projects,FULL,10,6,1.0,0.935,1.0,1.0,98.4,2
GET LIVING GROUP (MIDDLEWOOD LOCKS) DEVELOPMENTS LIMITED,11473280,1 EAST PARK WALK,E20 1JL,LONDON,2018-07-19,8.1,41100 - Development of building projects,FULL,3,3,1.0,0.935,1.0,1.0,98.4,34
TRIANGLE JV LIMITED,13725133,4 STABLE STREET,N1C 4AB,LONDON,2021-11-05,4.8,41100 - Development of building projects,GROUP,3,2,1.0,0.883,1.0,1.0,97.1,1
UPP (HULL) LIMITED,10582019,1ST FLOOR,EC4R 9AB,LONDON,2017-01-25,9.6,41100 - Development of building projects,FULL,4,4,1.0,0.935,0.946,1.0,97.0,16
THAMES PROPERTY HOLDINGS LIMITED,10845916,FORESTERS HALL,SE19 3RY,LONDON,2017-07-03,9.2,41100 - Development of building projects,GROUP,2,2,1.0,0.883,0.985,1.0,96.7,1
CAMDEN LIVING LIMITED,10484863,5 PANCRAS SQUARE,N1C 4AG,LONDON,2016-11-17,9.8,41100 - Development of building projects,FULL,5,5,1.0,0.935,0.928,1.0,96.6,1
HE4 CREWE 1 GP LIMITED,14195040,7TH FLOOR,SW1H 0DB,LONDON,2022-06-24,4.2,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,6
WHITELEY RESIDENTIAL BLOCKER LIMITED,12266641,C/O ALTER DOMUS (UK) LIMITED 10TH FLOOR,EC3A 8BF,LONDON,2019-10-16,6.9,41100 - Development of building projects,FULL,8,2,1.0,0.818,1.0,1.0,95.5,3
DAR GLOBAL UK HOLDINGS LTD,13881707,50 HANS CRESCENT,SW1X 0NA,LONDON,2022-01-31,4.6,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,4
GUILDMORE (HERNE BAY) LIMITED,11898541,KALAMU HOUSE,EC1R 5HL,LONDON,2019-03-22,7.4,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,7
ULIVING@BRIGHTON LIMITED,11702889,BECKET HOUSE,SE1 7EU,LONDON,2018-11-29,7.8,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,2
GLP BLADE MIDCO 1 LIMITED,14000275,50 NEW BOND STREET,W1S 1BJ,LONDON,2022-03-24,4.4,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,36
SB 77 YORK LIMITED,14289210,C/O OGIER GLOBAL (UK) LIMITED,EC3A 6AB,LONDON,2022-08-10,4.1,41100 - Development of building projects,FULL,3,2,1.0,0.818,1.0,1.0,95.5,1
THE PLACE NOTTINGHAM LIMITED,14009256,ONE,EC2R 5AA,LONDON,2022-03-29,4.4,41100 - Development of building projects,FULL,4,2,1.0,0.818,1.0,1.0,95.5,2
DESIGN DISTRICT LIMITED,10982639,LEVEL 9 6 MITRE PASSAGE,SE10 0ER,LONDON,2017-09-26,8.9,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,1
DAR RE LEASE CO LIMITED,13024790,150 HOLBORN,EC1N 2NS,LONDON,2020-11-17,5.8,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,5
WW RESIDENTIAL DEVCO HOLDCO LIMITED,14209752,30TH FLOOR ONE CANADA SQUARE,E14 5AB,LONDON,2022-07-01,4.2,41100 - Development of building projects,FULL,2,2,1.0,0.818,1.0,1.0,95.5,3
